Index,Title,Price,Color
1,Vexx: Uno Court - Vexx Multi-Moji,"100,00 ",2 
2,Skechers Slip-ins: Snoop One - Rhine-Stoned,"110,00 ",2 
3,Skechers Slip-ins: Arch Fit Arcade - Forever Cozy,"80,00 ",2 
4,Arch Fit Arcade - Meet Ya There,"75,00 ",2
5,Arch Fit Arcade - On My Way,"75,00 ",1 
6,Skechers Slip-ins: BOBS Skip Cute - B Cute Sweet,"65,00 ",3 
7,Skechers Slip-ins: BOBS Sport Squad Chaos,"80,00 ",5
8,Skechers Slip-ins GO Walk Glide-Step 2.0 - Venus,"100,00 ",2
9,Skechers Slip-ins: Glide-Step - Prism,"80,00 ",1 
10,Skechers Slip-ins: Glide-Step Pro - Everyday,"90,00 ",2 
11,Skechers Slip-ins: Glide-Step Altus,"110,00 ",3 
12,Skechers Slip-ins: Glide-Step - Tranquility,"90,00 ",1 
13,Skechers Slip-ins: Glide-Step - Excite,"95,00 ",1 
14,Skechers Slip-ins: Ultra Flex 3.0 - Brilliant,"100,00 ",9
15,Skechers Slip-ins: Ultra Flex 3.0 - New Energy,"100,00 ",1 
16,Skechers Slip-ins: Ultra Flex 3.0 - Smooth Step,"95,00 ",4
17,Skechers Slip-ins: Ultra Flex 3.0 - Cozy Streak,"100,00 ",1 
18,Skechers Slip-ins: Summits - Dazzling Haze,"80,00 ",6
19,Skechers Slip-ins: Max Cushioning Elite 2.0,"120,00 ",3 
20,Skechers Slip-ins: Arch Fit 2.0 - Right as Rain,"130,00 ",1 
21,BOBS D'Vine - Spotted Bud,"55,00 ",1 
22,BOBS D'Vine - Doodle Fair,"60,00 ",1 
23,BOBS Beyond - Pup Parade,"55,00 ",1 
24,Uno Wedge - Everything Nice,"90,00 ",3 
25,Uno Wedge - HI Steps,"90,00 ",3 
26,Uno Envy - Pointed Bliss,"95,00 ",4 
27,Uno Lite - Lite Work,"70,00 ",3 
28,Uno - Stand on Air,"90,00 ",33
29,Uno - Galactic Gal,"95,00 ",3 
30,Uno - Shimmer Away,"90,00 ",7
31,Uno - Golden Air,"90,00 ",3 
32,Uno - Glitter Bomb,"90,00 ",2 
33,Uno Rugged - Spotted Terrain,"110,00 ",1 
34,Uno Prima - Starlet,"130,00 ",2 
35,Uno Court - Fast Break,"85,00 ",3 
36,Ricardo Cavolo: Uno - Flaming Love,"100,00 ",1 
37,Uno - - Stand High,"90,00 ",3 
38,Uno Rugged - Fall Shimmer,"95,00 ",2 
39,Uno Peaks - Moon Puffz,"90,00 ",2 
40,Uno Court - Courted Air,"85,00 ",2 
41,Jade - Chestnut Chills,"80,00 ",1 
42,Uno Court - Courted Style,"85,00 ",1 
43,Jade - Best In Class,"75,00 ",5 
44,Sport Court 2.0 - Core Essential,"75,00 ",2 
45,Eden LX - Slick Talk,"70,00 ",1 
46,D'Lites - Popular Vote,"80,00 ",2 
47,Skechers Slip-ins Relaxed Fit: Easy Going - Cozy Weather 2,"90,00 ",2 
48,Skechers Slip-ins: Easy Going - Fun Habits,"85,00 ",1 
49,Skechers Slip-ins: Easy Going - Fall Adventures,"85,00 ",2 
50,Arya - Fashionista,"75,00 ",2 
51,HI Ryze - Street Stomper,"85,00 ",2 
52,BOBS Keepsakes Lite - Cozy Fest,"45,00 ",2 
53,Cozy Campfire - Winter Nights,"45,00 ",3 
54,Cozy Up,"40,00 ",3 
55,BOBS Cozy Chill - Cozy Spot,"40,00 ",1 
56,Tres-Air Uno - Ah-Mazing,"90,00 ",4 
57,Skechers Slip-ins: GO RUN Consistent 2.0 - Endure,"90,00 ",2 
58,Skechers Slip-ins: GO WALK 7 - Mia,"100,00 ",2 
59,Skechers Slip-ins: GO WALK 7 - Valin,"110,00 ",2 
60,Skechers Slip-ins: Breathe-Easy - Home-Body,"85,00 ",2 
61,Skechers Slip-ins: GO WALK Arch Fit 2.0,"110,00 ",4 
62,Skechers Slip-ins: GO WALK 7 - Adel,"100,00 ",2 
63,GO WALK MAX Walker - Vea,"95,00 ",1 
64,GO WALK Arch Fit 2.0 - Paityn,"90,00 ",2 
65,GO WALK 7 - Zaida,"85,00 ",1 
66,GO WALK Arch Fit 2.0 - Balin,"95,00 ",4 
67,Arch Fit 2.0 - Sheer Shimmer,"90,00 ",2 
68,Skechers Arch Fit S-Miles - Mile Makers,"100,00 ",2 
69,Arch Fit 2.0 - Glow The Distance,"95,00 ",2 
70,Arch Fit 2.0 - Big League,"95,00 ",6
71,Arch Fit 2.0 - Star Bound,"95,00 ",2 
72,Skechers Arch Fit - Big Appeal,"100,00 ",5
73,Arch Fit Vista - Gleaming,"100,00 ",2 
74,Arch Fit 2.0 - Dark Horse,"95,00 ",1 
75,GO WALK 7 - Ivy,"80,00 ",1
76,GO WALK 7 - Cosmic Waves,"85,00 ",3 
77,GO WALK 7 - Clear Path,"80,00 ",4
78,Skechers Slip-ins: Virtue - Divinity,"85,00 ",3 
79,Skechers Slip-ins: Summits - Classy Night,"80,00 ",2 
80,Skechers Slip-ins: Ultra Flex 3.0 - Shiny Night,"100,00 ",2 
81,Skechers Slip-ins: GO GOLF WALK 5 - Slip-Ins,"115,00 ",1 
82,Skechers Slip-ins: GO GOLF Elite 5 - Slip 'In,"155,00 ",1 
83,Skechers Slip-ins: GO WALK Flex - Grand Entry,"85,00 ",5 
84,Skechers Slip-ins: GO WALK Flex - Relish,"85,00 ",2 
85,Skechers Slip-ins: On-the-GO Flex - Camellia,"80,00 ",2 
86,Skechers Slip-ins: GO WALK 6 - Fabulous View,"100,00 ",1 
87,Skechers Slip-Ins: GO WALK 6 - Vivid Idea,"110,00 ",1 
88,Skechers Slip-ins: On-the-GO Flex - Serene,"80,00 ",1 
89,Skechers Slip-ins: On-the-GO Flex - Captivating,"80,00 ",1 
90,Skechers Slip-ins Work: Summits SR - Enslee,"90,00 ",1 
91,D'Lites - New Heat,"75,00 ",3 
92,Skechers Slip-ins: Gratis Sport - Leisurely,"90,00 ",2 
93,Skechers Slip-ins: Hillcrest - Sunapee,"100,00 ",3 
94,Skechers Slip-ins RF: Easy Going - Modern Hour,"85,00 ",2 
95,Skechers Slip-ins: Eden LX - Royal Stride,"80,00 ",2 
96,Skechers Slip-ins Mark Nason: A Wedge - Crecent,"95,00 ",3 
97,Mark Nason: New Wave Cup - The Rally,"85,00 ",1 
98,D'Lites - Fresh Start,"75,00 ",2
99,D'Lites - Biggest Fan,"75,00 ",3
100,D'Lites - Bold Views,"75,00 ",1 
